"","X","Date","TC","TdC","Hr","TmaxC","TminC","ddd","ffkmh","P0hPa","PseahPa","Precmm","Nt","HKm","InsoD1","Viskm"
"164",164,"2021-01-11 06:00:00",21.4,5,34,NA,21,"NNE",7.4,984.2,1009.1,"0.0/24h",3,2.5,10.6,10
"163",163,"2021-01-11 09:00:00",26.4,2.1,21,NA,NA,"N",14.8,986.4,1011.3,NA,3,2.5,NA,4.8
"162",162,"2021-01-11 12:00:00",33.9,-3.5,9,NA,NA,"E",14.8,985.4,1010.1,"0.0/6h",3,2.5,NA,8
"161",161,"2021-01-11 15:00:00",36.5,-3.2,8,NA,NA,"NW",3.7,982.6,1007.2,NA,5,2.5,NA,6
"160",160,"2021-01-11 18:00:00",34.2,-4,8,37,NA,"NE",7.4,983.4,1008.2,"0.0/12h",5,2.5,NA,6
"159",159,"2021-01-11 21:00:00",28.5,5,22,NA,NA,"NNE",7.4,985.6,1010.5,NA,5,2.5,NA,8
"158",158,"2021-01-12 00:00:00",25.5,5.8,28,NA,NA,"NNW",7.4,986.1,1010.8,"0.0/6h",5,2.5,NA,8
"157",157,"2021-01-12 03:00:00",23.5,6.2,33,NA,NA,"NNW",3.7,985.2,1009.9,"0.0/3h",5,2.5,NA,8
"156",156,"2021-01-12 06:00:00",23.8,1,22,NA,22,"NNW",7.4,986.4,1011.2,"0.0/24h",5,2.5,10,5
"155",155,"2021-01-12 09:00:00",29,-3.3,12,NA,NA,"ENE",18.5,988.6,1013.5,NA,5,2.5,NA,6
"154",154,"2021-01-12 12:00:00",34.5,-1,10,NA,NA,"NE",14.8,987.2,1011.9,"0.0/6h",5,2.5,NA,8
"153",153,"2021-01-12 15:00:00",34.7,-3,9,NA,NA,"E",18.5,984.7,1009.4,NA,3,2.5,NA,10
"152",152,"2021-01-12 18:00:00",32.6,-0.2,12,36.5,NA,"E",7.4,985.5,1010.3,"0.0/12h",5,2.5,NA,10
"151",151,"2021-01-12 21:00:00",27.5,0.1,17,NA,NA,"NNE",7.4,978.1,1011.7,NA,5,2.5,NA,10
"150",150,"2021-01-13 00:00:00",24.2,3,25,NA,NA,"N",7.4,987.4,1012.2,"0.0/6h",5,2.5,NA,10
"149",149,"2021-01-13 06:00:00",21.2,1.7,27,NA,19.6,"N",3.7,987.3,1012.3,"0.0/24h",5,2.5,10,8
"148",148,"2021-01-13 09:00:00",28,0.1,16,NA,NA,"E",11.1,989.1,1014,NA,6,2.5,NA,10
"147",147,"2021-01-13 12:00:00",34.6,-2.9,9,NA,NA,"E",22.2,987.5,1012.3,"0.0/6h",5,2.5,NA,10
"146",146,"2021-01-13 15:00:00",35.6,-5,7,NA,NA,"E",22.2,985.4,1010.2,NA,5,2.5,NA,10
"145",145,"2021-01-13 18:00:00",32.4,-1.6,11,36,NA,"ENE",11.1,986,1010.9,"0.0/12h",5,2.5,NA,15
"144",144,"2021-01-13 21:00:00",27,1,18,NA,NA,"CAL",0,987.9,1012.8,NA,5,2.5,NA,10
"143",143,"2021-01-14 00:00:00",23.6,2,24,NA,NA,"CAL",0,987.7,1012.5,"0.0/6h",5,2.5,NA,10
"142",142,"2021-01-14 03:00:00",21.4,4.3,33,NA,NA,"E",7.4,986.7,1011.5,NA,5,2.5,NA,10
"141",141,"2021-01-14 06:00:00",19.6,3.3,34,NA,19,"CAL",0,987.4,1012.5,"0.0/24h",5,2.5,10.9,10
"140",140,"2021-01-14 09:00:00",26.4,0.3,18,NA,NA,"E",22.2,988.8,1013.8,NA,5,2.5,NA,10
"139",139,"2021-01-14 12:00:00",32.6,-2,11,NA,NA,"E",22.2,987.2,1012.1,"0.0/6h",5,2.5,NA,10
"138",138,"2021-01-14 15:00:00",34.4,-1.8,10,NA,NA,"E",18.5,984.6,1009.4,NA,5,2.5,NA,10
"137",137,"2021-01-14 18:00:00",32.2,-1.2,12,35.5,NA,"E",14.8,985.1,1010.1,"0.0/12h",5,2.5,NA,10
"136",136,"2021-01-14 21:00:00",26.4,0.3,18,NA,NA,"ENE",3.7,986.8,1011.8,NA,5,2.5,NA,10
